given_address,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,state,state_code,confidence_city_level,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
"9, Krishna Menon Marg, New Delhi",28.6065699,77.2101022,"Krishna Menon Marg, Rakab Ganj, New Delhi - 110011, Delhi, India",Krishna Menon Marg,,Krishna Menon Marg,Chanakya Puri Tehsil,Rakab Ganj,110011,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"9, Krishna Menon Marg, New Delhi",28.6065699,77.2101022,"Krishna Menon Marg, Rakab Ganj, New Delhi - 110011, Delhi, India",Krishna Menon Marg,,Krishna Menon Marg,Chanakya Puri Tehsil,Rakab Ganj,110011,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"9, Krishna Menon Marg New Delhi",28.6065699,77.2101022,"Krishna Menon Marg, Rakab Ganj, New Delhi - 110011, Delhi, India",Krishna Menon Marg,,Krishna Menon Marg,Chanakya Puri Tehsil,Rakab Ganj,110011,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2, Jantar Mantar Road New Delhi",28.6238745,77.2158922,"Jantar Mantar Road, Rakab Ganj, New Delhi - 110001, Delhi, India",Jantar Mantar Road,,Jantar Mantar Road,Chanakya Puri Tehsil,Rakab Ganj,110001,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2, Jantar Mantar Road New Delhi",28.6238745,77.2158922,"Jantar Mantar Road, Rakab Ganj, New Delhi - 110001, Delhi, India",Jantar Mantar Road,,Jantar Mantar Road,Chanakya Puri Tehsil,Rakab Ganj,110001,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"9, Krishna Menon Marg New Delhi",28.6065699,77.2101022,"Krishna Menon Marg, Rakab Ganj, New Delhi - 110011, Delhi, India",Krishna Menon Marg,,Krishna Menon Marg,Chanakya Puri Tehsil,Rakab Ganj,110011,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2, Jantar Mantar Road New Delhi",28.6238745,77.2158922,"Jantar Mantar Road, Rakab Ganj, New Delhi - 110001, Delhi, India",Jantar Mantar Road,,Jantar Mantar Road,Chanakya Puri Tehsil,Rakab Ganj,110001,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Choudhury Art Cottage Dhiren Para, H.No. 29 Bishnu Rabha Path, Guwahati-25",26.120978,91.794258,"Bishnu Rabha Path, Guwahati -, Assam, India",,,Bishnu Rabha Path,,,,Guwahati,Kamrup Metropolitan,Assam,AS,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Organisation Secretary Upcc Lucknow 10- Mall Avenue Nehru Bhawan Lucknow Up,26.472918,80.351573,"The Mall Road, Kanpur -, Uttar Pradesh, India",,,The Mall Road,,,,Kanpur,Kanpur,Uttar Pradesh,UP,,,India,in,0.041666666666666664,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"36, Bharti Artist Colony New Delhi-110092",19.034885,73.044057,"10/36, Artist Village, Nerul - 400614, Maharashtra, India",,10/36,Artist Village,,,400614,Nerul,Thane,Maharashtra,MH,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"36, Bharti Artist Colony Delhi-110052",19.034885,73.044057,"10/36, Artist Village, Nerul - 400614, Maharashtra, India",,10/36,Artist Village,,,400614,Nerul,Thane,Maharashtra,MH,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"9.  Krishna Menon Marg  New Delhi ",28.6065699,77.2101022,"Krishna Menon Marg, Rakab Ganj, New Delhi - 110011, Delhi, India",Krishna Menon Marg,,Krishna Menon Marg,Chanakya Puri Tehsil,Rakab Ganj,110011,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"9.  Krishna Menon Marg  New Delhi ",28.6065699,77.2101022,"Krishna Menon Marg, Rakab Ganj, New Delhi - 110011, Delhi, India",Krishna Menon Marg,,Krishna Menon Marg,Chanakya Puri Tehsil,Rakab Ganj,110011,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pynthorumkhrah Shillong-793001,25.5760446,91.8825282,"Police Bazar Road, Shillong - 793001, Meghalaya, India",Shillong,,Police Bazar Road,,,793001,Shillong,Mylliem,Meghalaya,ML,0.16666666666666666,,India,in,0.16666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Surat,21.1864607,72.8081281,"Surat - 395001, Gujarat, India",Surat,,,,,395001,Surat,Katargam Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Surat,21.1864607,72.8081281,"Surat - 395001, Gujarat, India",Surat,,,,,395001,Surat,Katargam Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Makhdoom Bhavan Himayat Nagar Hyderabad ",17.400859,78.486787,"Himayat Nagar Main Road, Himayathnagar, Hyderabad -, Telangana, India",,,Himayat Nagar Main Road,Central Zone,Himayathnagar,,Hyderabad,Hyderabad,Telangana,TG,1,,India,in,0.3230769230769231,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Mokhdoom Bhavan Himayat Nagar Hyderabad ",17.400859,78.486787,"Himayat Nagar Main Road, Himayathnagar, Hyderabad -, Telangana, India",,,Himayat Nagar Main Road,Central Zone,Himayathnagar,,Hyderabad,Hyderabad,Telangana,TG,1,,India,in,0.3230769230769231,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Bhupesh Bhavan Sayani Rd Mumbai ",19.131577,72.891418,"Mumbai, Mumbai City, India",Mumbai,,,,,,Mumbai,Mumbai City,Maharashtra,MH,1,,India,in,0.1,,,https://www.whosonfirst.org/docs/licenses/
"Kumud Apartment 5th Floor, 110/4, Pune-411004",12.901286,77.623539,"Ground Floor, Axis Citrino Apartments, Deverachikkanahalli Main Road, Hongasandra, Bangalore - 560068, Karnataka, India",,"Ground Floor, Axis Citrino Apartments",Deverachikkanahalli Main Road,Bommanahalli ,Hongasandra,560068,Bangalore,Bangalore,Karnataka,KA,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
" Makhdoom Bhavan, Himayat Nagar, Hyderabad-500029",17.400859,78.486787,"Himayat Nagar Main Road, Himayathnagar, Hyderabad -, Telangana, India",,,Himayat Nagar Main Road,Central Zone,Himayathnagar,,Hyderabad,Hyderabad,Telangana,TG,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Secretary, A.P. State Council, CPI, Dasari Nagabhusanar Bhavan, Hanumapet Vijaywada-520003",,,,,,,,,,,,,,,,,,,,,
"Surat ",21.1864607,72.8081281,"Surat - 395001, Gujarat, India",Surat,,,,,395001,Surat,Katargam Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""Arun"" 14, Bombay Road KIPAUK, Chennai-600010",12.041513,75.355277,"arun, -, Kerala, India",,,arun,,,,,Kannur,Kerala,KL,,,India,in,0.13902439024390245,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"305, V.P House, New Delhi ",11.044977,75.925842,"VP house, kammukutty adikari road, - 676306, Kerala, India",VP house,,kammukutty adikari road,,,676306,,Malappuram,Kerala,KL,,,India,in,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"216, North Avenue New Delhi-1",28.6204216,77.1998882,"North Avenue, Rakab Ganj, New Delhi - 110004, Delhi, India",North Avenue,,North Avenue,Chanakya Puri Tehsil,Rakab Ganj,110004,New Delhi,,Delhi,DL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Himmatnagar Dist Sabarkantha,23.614955000000002,73.0221436045297,"Himatnagar Taluka, India",Himatnagar Taluka,,,,,,,Himatnagar Taluka,Gujarat,GJ,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Shop No 6, S.No 129+130, PT94, Anand Park Society, Aundh, Pune-411007",18.565307,73.801293,"Shop No. C-4, Sai Heritage, Pune - 411007, Maharashtra, India",,Shop No. C-4,Sai Heritage,Aundh,,411007,Pune,Pune,Maharashtra,MH,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"302,MS FLATS BKS Marg New Delhi ",28.557163,77.163665,"Delhi, South West, India",Delhi,,,,,,Delhi,South West,Delhi,DL,0.5625,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
"Tech Park-1, Yerawada Pune-411006",12.978756,77.658208,"66/1/3, Bagmane tech park Road, New Tippasandara, Bangalore - 560093, Karnataka, India",,66/1/3,Bagmane tech park Road,East Bangalore,New Tippasandara,560093,Bangalore,Bangalore,Karnataka,KA,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Araneshwar, Sahakar nagar Parvati, pune - 411 009",16.696783,74.478526,"Sahakar Nagar, Ichalkaranji -, Maharashtra, India",,,Sahakar Nagar,,,,Ichalkaranji,Kolhapur,Maharashtra,MH,,,India,in,0.3111111111111111,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Surat,21.1864607,72.8081281,"Surat - 395001, Gujarat, India",Surat,,,,,395001,Surat,Katargam Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"68-69, Vallabh Nagar Soc. Varachha Road Surat",21.196102,72.815766,"Surat, India",Surat,,,,,,Surat,Surat,Gujarat,GJ,1,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
"Surat ",21.1864607,72.8081281,"Surat - 395001, Gujarat, India",Surat,,,,,395001,Surat,Katargam Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Block No. 25/1, Bhim Road Surat ",27.29476,82.28165,"Surat Dih, India",Surat Dih,,,,,,Surat Dih,,,,0.95,,India,in,0.05555555555555555,,,https://www.whosonfirst.org/docs/licenses/
"Surat ",21.1864607,72.8081281,"Surat - 395001, Gujarat, India",Surat,,,,,395001,Surat,Katargam Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Heliodoro, Salgado Road, Aakash Bhavan Co-Operative Housing Society Ltd. Panaji, Goa-403001, Ph. 2231065",15.499549,73.822383,"Shop 5, Rua Heliodoro Salgado, Panjim -, Goa, India",,Shop 5,Rua Heliodoro Salgado,,,,Panjim,North Goa,Goa,GA,,,India,in,0.19,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Heliodoro, Salgado Road, Aakash Bhavan Co-Operative Housing Society Ltd. Panaji, Goa-403001, Ph. 2231065",15.499549,73.822383,"Shop 5, Rua Heliodoro Salgado, Panjim -, Goa, India",,Shop 5,Rua Heliodoro Salgado,,,,Panjim,North Goa,Goa,GA,,,India,in,0.19,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"N.H 6, Chamrail Howrah-711114",13.598189,77.43265,"NH-69, -, Karnataka, India",,,NH-69,,,,,Chikballapura,Karnataka,KA,,,India,in,0.26249999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"B-103, Radha Govind Siddharth Nagar, Borivali East, Mumbai - 400 066",,,,,,,,,,,,,,,,,,,,,
Surat,21.1864607,72.8081281,"Surat - 395001, Gujarat, India",Surat,,,,,395001,Surat,Katargam Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lucknow,26.8381,80.9346001,"Lucknow - 226019, Uttar Pradesh, India",Lucknow,,,,,226019,Lucknow,Sadar,Uttar Pradesh,UP,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vapi Gidc, Ahmedabad",23.09085615,72.67180844616625,"Naroda GIDC, Ahmedabad - 380001, Gujarat, India",Naroda GIDC,,,,Naroda GIDC,380001,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,0.125,,India,in,0.125,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Plot No. 801/23, G.I.D.C. Estate, Phase-III Vapi, Dist. Valsad",13.700769,80.029838,"Ayyappa Nagar, Degalapalem(Donka), Plot No. 22, - 524121, Andhra Pradesh, India",,"Ayyappa Nagar, Degalapalem(Donka)",Plot No. 22,,,524121,,Nellore,Andhra Pradesh,AP,,,India,in,0.11875,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"PLOT NO. 801/23. G.I.D.C. ESTATE, PHASR-III",9.712091,77.078528,"Estate Road, -, Kerala, India",,,Estate Road,,,,,Idukki,Kerala,KL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PLOT NO. 801/23 G.I.D.C. ESTATE PHASE-III VAPI 0260-2400153-2401322,13.700769,80.029838,"Ayyappa Nagar, Degalapalem(Donka), Plot No. 22, - 524121, Andhra Pradesh, India",,"Ayyappa Nagar, Degalapalem(Donka)",Plot No. 22,,,524121,,Nellore,Andhra Pradesh,AP,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Andheri (E), Mumbai.",19.1158835,72.854202,"Andheri East, Mumbai - 400069, Maharashtra, India",Andheri East,,,Zone 3,Andheri East,400069,Mumbai,Mumbai Suburban,Maharashtra,MH,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Aarti House, Ashoka Ratan, Vidhansabha Marg, Rumhardih, Raipur,",18.911921,72.824523,"Dumayne Marg, Bombay Colaba, Mumbai -, Maharashtra, India",,,Dumayne Marg,Zone 1,Bombay Colaba,,Mumbai,Mumbai City,Maharashtra,MH,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ravula Residency,Srinagar Colony,Hyderabad",,,,,,,,,,,,,,,,,,,,,
"Srinagar Colony Hyderabad ",17.431231,78.4337951,"Srinagar Colony, Ward 97 Somajiguda, Hyderabad - 500073, Telangana, India",Srinagar Colony,,,Greater Hyderabad Municipal Corporation Central Zone,Ward 97 Somajiguda,500073,Hyderabad,Khairatabad mandal,Telangana,TG,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"188/2, Ranipur Village Opp. Ranipur Church Narol Ahmedabad- 382405",22.96869443325556,72.5878360586964,"Ahmedabad City Taluka, 382405, Gujarat, India",Ahmedabad City Taluka,,,,,382405,,Ahmedabad City Taluka,Gujarat,GJ,1,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nadiad Dist Kheda,22.686277,72.868462,"Nadiad, Kheda, India",Nadiad,,,,,,Nadiad,Kheda,Gujarat,GJ,,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
"Surat ",21.1864607,72.8081281,"Surat - 395001, Gujarat, India",Surat,,,,,395001,Surat,Katargam Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"A/205, Jay Tower B/H Sun & Steep Club Mamnagar Ahmedabad",20.309532,85.819627,"Fortune Tower, Jaydev Vihar, Bhubaneswar - 751013, Odisha, India",,Fortune Tower,Jaydev Vihar,,,751013,Bhubaneswar,Khordha,Odisha,OR,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"A-205, Jay Tower Memnagar Ahmedabad",23.012369,72.561743,"Ahmedabad, Ahmadabad, India",Ahmedabad,,,,,,Ahmedabad,Ahmadabad,Gujarat,GJ,1,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
"Dediyan, GIDC, Mehsana",,,,,,,,,,,,,,,,,,,,,
"Mehsana ",23.601262849999998,72.37415155167554,"Mehsana Airport, Kamalpath, Rajivbrigade Nagar, Brahmni Nagar - 384001, Gujarat, India",Mehsana Airport,,Kamalpath,,Rajivbrigade Nagar,384001,Brahmni Nagar,Mahesana Taluka,Gujarat,GJ,,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vip. Road Surat,21.2050293,72.8407427,"Sumul Dairy Road, Mini Bazar, Surat - 395001, Gujarat, India",Surat,,Sumul Dairy Road,,Mini Bazar,395001,Surat,Puna Taluka,Gujarat,GJ,1,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"179, INDRAPRAKASH. BLDG BARAKHAMBA ROAD. N.D .1",,,,,,,,,,,,,,,,,,,,,
"Vill & Post Patti, The Palampur, Distt- Kangra",28.52385,77.084844,"Fun and Food Village, Sambhalka, Delhi -, Delhi, India",,,Fun and Food Village,,Sambhalka,,Delhi,South West,Delhi,DL,,,India,in,0.09047619047619046,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indore M. P.,22.619031200000002,76.04899535227256,"Kampel, Indore, MP, Indore Tahsil, India","Kampel, Indore, MP",,,,,,"Kampel, Indore, MP",Indore Tahsil,Madhya Pradesh,MP,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
At Ankleshwar Dist Bharuch,21.590864250000003,72.9694248537309,"Ankleshwar Taluka, India",Ankleshwar Taluka,,,,,,,Ankleshwar Taluka,Gujarat,GJ,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kozhikode,11.2450558,75.7754716,"Kozhikode - 673001, Kerala, India",Kozhikode,,,,,673001,Kozhikode,Kozhikode,Kerala,KL,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"80-82, North Avenue, New Delhi",28.6204216,77.1998882,"North Avenue, Rakab Ganj, New Delhi - 110004, Delhi, India",North Avenue,,North Avenue,Chanakya Puri Tehsil,Rakab Ganj,110004,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"10/2270, Charagali Chowk Bazar Surat",21.18452,74.21668,"Basar, Dhule, India",Basar,,,,,,Basar,Dhule,Maharashtra,MH,,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
"Khagra Ghat, Station Road P.O. Radhar Ghat, Murshidabad West Bengal",24.47213,88.063113,"Radharani sarani, -, West Bengal, India",,,Radharani sarani,,,,,Murshidabad,West Bengal,WB,1,,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"9, Dr. H.C. Mathur Lane, New Delhi",28.622155,77.2221516,"Harish Chandra Mathur Lane, New Delhi - 110 001, Delhi, India",Harish Chandra Mathur Lane,,Harish Chandra Mathur Lane,Chanakya Puri Tehsil,,110 001,New Delhi,,Delhi,DL,1,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"80-82, North Avenue New Delhi",28.6204216,77.1998882,"North Avenue, Rakab Ganj, New Delhi - 110004, Delhi, India",North Avenue,,North Avenue,Chanakya Puri Tehsil,Rakab Ganj,110004,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"No-59/1, Coles  Road Frezar Town, Bangalore-05",12.995571,77.613647,"Pizza Hut, Coles Road, 66/1, Coles Road, Fraser Town, Pulikeshinagar, Bangalore - 560005, Karnataka, India","Pizza Hut, Coles Road",66/1,"Coles Road, Fraser Town",East Bangalore,Pulikeshinagar,560005,Bangalore,Bangalore,Karnataka,KA,0.7363636363636364,0.6995454545454546,India,in,0.3264545454545455,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Raipur,21.2379469,81.6336833,"Raipur - 493332, Chhattisgarh, India",Raipur,,,,,493332,Raipur,Raipur Tahsil,Chhattisgarh,CT,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Porvorim Bardez-Goa ",15.5474192,73.8187636,"Porvorim - 403500, Goa, India",Porvorim,,,,,403500,Porvorim,Bardez,Goa,GA,0.16666666666666666,,India,in,0.16666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Okland Road Shillong-793001,25.5760446,91.8825282,"Police Bazar Road, Shillong - 793001, Meghalaya, India",Shillong,,Police Bazar Road,,,793001,Shillong,Mylliem,Meghalaya,ML,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2A/2, Taj Apartments Rao Tula Ram Marg R.K. Puram ND",12.93168,77.691109,"Block 2A, Bellanduru, Bangalore -, Karnataka, India",,,Block 2A,Mahadevapura,Bellanduru,,Bangalore,Bangalore,Karnataka,KA,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"975,3rd Floor Mukerji Nagar Delhi 9",,,,,,,,,,,,,,,,,,,,,
Surat,21.1864607,72.8081281,"Surat - 395001, Gujarat, India",Surat,,,,,395001,Surat,Katargam Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rajkot.,22.3051991,70.8028335,"Rajkot - 360001, Gujarat, India",Rajkot,,,,,360001,Rajkot,Rajkot Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"13, Talkatora RD New Delhi",28.6225019,77.2028186,"Talkatora Road, Rakab Ganj, New Delhi - 110004, Delhi, India",Talkatora Road,,Talkatora Road,Chanakya Puri Tehsil,Rakab Ganj,110004,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"13, Talkatora Road, New Delhi",28.6225019,77.2028186,"Talkatora Road, Rakab Ganj, New Delhi - 110004, Delhi, India",Talkatora Road,,Talkatora Road,Chanakya Puri Tehsil,Rakab Ganj,110004,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13-Talkatora Road New Delhi 110001,28.6225019,77.2028186,"Talkatora Road, Rakab Ganj, New Delhi - 110004, Delhi, India",Talkatora Road,,Talkatora Road,Chanakya Puri Tehsil,Rakab Ganj,110004,New Delhi,,Delhi,DL,1,0.78,India,in,0.78,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Surat ",21.1864607,72.8081281,"Surat - 395001, Gujarat, India",Surat,,,,,395001,Surat,Katargam Taluka,Gujarat,GJ,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vill, Jarauli, Post Khajua, Distt- Fatehpur UP",,,,,,,,,,,,,,,,,,,,,
"M/s Raja Transport Pvt. Ltd. Rishikesh 104/18, Dehradun Road",,,,,,,,,,,,,,,,,,,,,
"1373,Gali no.8(A)Vijay Park Moujpur ",28.718363,77.176654,"Gali ^, Delhi -, Delhi, India",,,Gali ^,,,,Delhi,South West,Delhi,DL,,,India,in,0.475,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"A-129, Neeti Bagh, New Delhi",28.557163,77.163665,"Delhi, South West, India",Delhi,,,,,,Delhi,South West,Delhi,DL,0.5625,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
"A-129, Neeti Bagh New Delhi",28.557163,77.163665,"Delhi, South West, India",Delhi,,,,,,Delhi,South West,Delhi,DL,0.5625,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
"A-129, Neeti Bagh New Delhi",28.557163,77.163665,"Delhi, South West, India",Delhi,,,,,,Delhi,South West,Delhi,DL,0.5625,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
"Door No. 7-1-24, Block 7th Floor Roxana Towers Bebumpet Hyderabad ",28.663782,77.09158,"1, Block No.1, Paschim Vihar, Delhi - 110087, Delhi, India",,1,Block No.1,,Paschim Vihar,110087,Delhi,South West,Delhi,DL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Cypress Woods Constructions Pvt.), Mumbai",19.115218,72.90816,"Cypress, Powai, Mumbai -, Maharashtra, India",,,Cypress,Zone 6,Powai,,Mumbai,Mumbai City,Maharashtra,MH,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"8,Vora Estate Shahji Raje Marg Vile Parle Mumbai -12",19.133536,72.910856,"Hostel No. 8, Paspoli, Mumbai, Mumbai City, India",Hostel No. 8,,,Zone 6,Paspoli,,Mumbai,Mumbai City,Maharashtra,MH,1,,India,in,0.475,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Andheri (E), Mumbai - 400093.",19.1292206,72.8601158,"Sunita Hospital, Mumbai, Vijay Raut Road, K/E Ward, Mumbai - 400093, Maharashtra, India","Sunita Hospital, Mumbai",,Vijay Raut Road,Zone 3,K/E Ward,400093,Mumbai,Mumbai Suburban,Maharashtra,MH,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"23/ Center, C G Road",10.50746,76.063175,"C. G. Rajeev Road, -, Kerala, India",,,C. G. Rajeev Road,,,,,Thrissur,Kerala,KL,,,India,in,0.475,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Leela Tower Kallai Rpad, Kozhikode-2",13.641901,79.427644,"Leela Mahal Circle, Tirumala - Tirupati -, Andhra Pradesh, India",,,Leela Mahal Circle,,,,Tirumala - Tirupati,Chittoor,Andhra Pradesh,AP,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
GIDC Pandesara Surat,21.092745999999998,72.85805972427309,"GIDC, Sachin - 394230, Gujarat, India",GIDC,,,,GIDC,394230,Sachin,Majura Taluka,Gujarat,GJ,0.16666666666666666,,India,in,0.16666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sector 22 -C, Chandigarh",30.735813,76.780549,"Sector 17, Chandigarh -, Chandigarh, India",,,Sector 17,,Sector 17,,Chandigarh,Chandigarh,Chandigarh,CH,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
At Ankleshwar Dist Bharuch,21.590864250000003,72.9694248537309,"Ankleshwar Taluka, India",Ankleshwar Taluka,,,,,,,Ankleshwar Taluka,Gujarat,GJ,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Andheri, Mumbai.",19.1196976,72.8464205,"Madhavdas Amarshi Marg, Andheri West, Mumbai - 400058, Maharashtra, India",Andheri,,Madhavdas Amarshi Marg,Zone 3,Andheri West,400058,Mumbai,Mumbai Suburban,Maharashtra,MH,1,,India,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"223-224,Kuber Plaza Link ROAD Andheri ",30.3896,77.12608,"Andheri, Ambala, India",Andheri,,,,,,Andheri,Ambala,Haryana,HR,1,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
