given_address,lat,lon,formatted,name,district,housenumber,street,county_code,postcode,suburb,city,county,state,confidence_street_level,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
BJP	Guru Krupa Salt & Chemi Pvt Ltd	At Vagra Dist Bharuch 	Bharuch	Gujarat	25000	2012,8.492722,76.936758,"The Pharmaceuticals & Chemicals Travancore Private Limited, Thiruvananthapuram, India",The Pharmaceuticals & Chemicals Travancore Private Limited,,,,,,,Thiruvananthapuram,Thiruvananthapuram,Kerala,,KL,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Guruchetan Singh	Village Bundala, Jallandhar			100000	2010",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Guruchetan Singh	Village, PO Jhandala			100000	2010",,,,,,,,,,,,,,,,,,,,,,
CPI	Gurudas Dasgupa	24 Canning Lane New Delhi 	New Delhi		25000	2005,41.1379,-73.320131,"1 Canning Lane, Westport, CT 06880, United States of America",,Westport,1,Canning Lane,,06880,,Westport,Fairfield County,Connecticut,,CT,United States,us,0.25,,© OpenAddresses contributors,BSD-3-Clause License,
"CPI	Gurudas Dasgupata,	M.P 15, Canning Lane New Delhi 	New Delhi		100000	2006",41.1375479,-73.3199634,"15 Canning Lane, Westport, CT 06880, United States of America",,Westport,15,Canning Lane,,06880,,Westport,Fairfield County,Connecticut,,CT,United States,us,0.11111111111111113,,,,
"CPI	Gurudas Dasgupta	35-36, DDU Marg New Delhi-2	New Delhi		1500000	2010",27.687396,84.438392,"Aroma marg 36, Chitwan, Nepal",,,36,Aroma marg,,,,,Chitwan,Three,,,Nepal,np,0.4275,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI	Gurudas Dasgupta	35-36, DDU Marg New Delhi-2	New Delhi		100000	2010",27.687396,84.438392,"Aroma marg 36, Chitwan, Nepal",,,36,Aroma marg,,,,,Chitwan,Three,,,Nepal,np,0.4275,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
CPI	Gurudas Dasgupta	15 canning Lane New Delhi	New Delhi		25000	2009,41.137363,-73.319343,"5 Canning Lane, Westport, CT 06880, United States of America",,Westport,5,Canning Lane,,06880,,Westport,Fairfield County,Connecticut,,CT,United States,us,0.30882352941176466,,© OpenAddresses contributors,BSD-3-Clause License,
"CPI	""Gurudas Dasgupta Ex-M.P. & Secretary,",,,,,,,,,,,,,,,,,,,,,,
"CPI""	AITUC Bhavan 35-36 DDU Marg New Delhi 110002	New Delhi		2500000	2013",39.03171,-90.26122,"New Delhi, IL, United States of America",,Mississippi Township,,,,,,New Delhi,Jersey County,Illinois,,IL,United States,us,0,1,,,https://www.whosonfirst.org/docs/licenses/
"INC	Gurudas Kamat	19, GRG Road, New Delhi	New Delhi		50000	2013",6.658169,3.577232,"grg, LA, Nigeria",,,,grg,,,,,Ikorodu,Lagos,,LA,Nigeria,ng,0.004596380350474007,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
INC	Gurudas Kamat	19- GRG Road New Delhi	New Delhi		50000	2010,42.6315237,-73.9063352,"2010 New Scotland Road, New Scotland, NY 12159, United States of America",,,2010,New Scotland Road,,12159,,New Scotland,Albany County,New York,0.15833333333333333,NY,United States,us,0.07125,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"INC	Gurudas Kamat	19, G.R.G. Road New Delhi	New Delhi		24000	2013",6.658169,3.577232,"grg, LA, Nigeria",,,,grg,,,,,Ikorodu,Lagos,,LA,Nigeria,ng,0.01234567901234569,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"INC	Gurudas Kamat	19, GRG Road, New Delhi	New Delhi		2000	2013",6.658169,3.577232,"grg, LA, Nigeria",,,,grg,,,,,Ikorodu,Lagos,,LA,Nigeria,ng,0.004756242568370991,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"INC	Gurudas Kamat	19, GRG Road, New Delhi	New Delhi		2000	2013",6.658169,3.577232,"grg, LA, Nigeria",,,,grg,,,,,Ikorodu,Lagos,,LA,Nigeria,ng,0.004756242568370991,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Gurudev Vegetable Company	15 Sardar Patel Market, Outside Jamalpur, Ahmedabad-380022	Ahmedabad	Gujarat	21000	2009",23.037097,72.543941,"Gujarat University, Ward 26, Ahmedabad -, GJ, India",,,,Gujarat University,,,Ward 26,Ahmedabad,Ahmadabad,Gujarat,0.95,GJ,India,in,0.95,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Gurudev Vegitable Company	9-A, Sardar Patel Market Jamalpur Ahmedabad	Ahmedabad	Gujarat	20000	2012",46.973437,6.887964,"2012 Lac de Neuchâtel, Switzerland",2012,,,,,2012,,Lac de Neuchâtel,,Neuchatel,,,Switzerland,ch,0,,,,https://www.whosonfirst.org/docs/licenses/
"BJP	Gurukrupa Developers	Kandivali (W), Mumbai - 67.	Mumbai		25000	2003",48.426363,16.249819,"2003 Leitzersdorf, Austria",2003,,,,,2003,,Leitzersdorf,Korneuburg,Lower Austria,,,Austria,at,0,,,,https://www.whosonfirst.org/docs/licenses/
"INC	Gurumalesh	12, 5Th Main 7Th Cross Saraswathinagar Mysore			25000	2003",12.965077,77.532311,"9/10, 7th Main 2nd Cross, Maruthi Mandir, Bangalore - 560040, KA, India",,West Bangalore,9/10,7th Main 2nd Cross,,560040,Maruthi Mandir,Bangalore,Bangalore,Karnataka,,KA,India,in,0.33249999999999996,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	GVK Industries Ltd.	""Paigah House 156-159 Sardar Patel Road ",13.010818,80.224704,"Sardar Patel Road, Ward 171, Chennai -, TN, India",,Adyar,,Sardar Patel Road,,,Ward 171,Chennai,Chennai,Tamil Nadu,,TN,India,in,0.5,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Secunderabad 500 003""			30000	2008",17.433832,78.501705,"Secunderabad Junction, Station Road, Mettuguda, Hyderabad - 500003, TG, India",Secunderabad Junction,North Zone,,Station Road,,500003,Mettuguda,Hyderabad,Hyderabad,Telangana,,TG,India,in,0.18490484429065743,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gyandas Sonkar	H-21901 Jahangirpun Delhi	New Delhi		50000	2011,,,,,,,,,,,,,,,,,,,,,,
"BJP	Gyanesh Kr. Agarwal	16, Himgiri Vihar, Kankhal, Haridwar	Haridwar		100000	2010",18.521489,73.855572,"1317, Agarwal Road, Pune - 411011, MH, India",,Kasba Vishrambaugwada,1317,Agarwal Road,,411011,,Pune,Pune,Maharashtra,,MH,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gynan Singh	Badvgars Umriya M.P.			100000	2011,,,,,,,,,,,,,,,,,,,,,,
"NCP	H C Limited	 Virginia House, 37-II Nehru Road, Kolkata-700071	Kolkata	West Bengal	1400000	2009",22.560362,88.350604,"Jawaharlal Nehru Road, Ward 46, Kolkata -, WB, India",,Borough No. VI,,Jawaharlal Nehru Road,,,Ward 46,Kolkata,Kolkata,West Bengal,0.95,WB,India,in,0.475,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	H L Subba Rao	17, Akkamahadevi Rd., Extn. Davangere			50000	2014",14.463833,75.917732,"Akkamahadevi Road, Davangere -, KA, India",,,,Akkamahadevi Road,,,,Davangere,Davanagere,Karnataka,,KA,India,in,0.11111111111111113,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
INC	H. K. Patil	Hutkoti TQ. Gadag Distt-Gadag			39725	2010,,,,,,,,,,,,,,,,,,,,,,
BJP	H. P. Rajyaguru	Rajkot	Rajkot		500000	2012,27.464966,-80.345511,"2012 Avenue P, Fort Pierce, FL 34950, United States of America",,,2012,Avenue P,,34950,,Fort Pierce,St. Lucie County,Florida,,FL,United States,us,0,,© OpenAddresses contributors,BSD-3-Clause License,
INC	H.D.R. Lyngdho	Upland Road Shillong-03			740000	2010,45.420037,-92.684207,"Upland Road, Shafer, MN, United States of America",,Shafer Township,,Upland Road,,,,Shafer,Chisago County,Minnesota,,MN,United States,us,0.1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
INC	H.G. Ramulu	Saroja Nivas Saroj Nagar Gangavathi Koppal Dist			25000	2003,,,,,,,,,,,,,,,,,,,,,,
"INC	H.K. Srikantu	592, Bank Officers & Official Layout Doddakalsandra I Block, Bangalore-62	Bangalore	Karnataka	100000	2014",12.96407,77.749541,"188, Sita Lakshmi ITPL Rd, AECS Layout - A Block, AECS Layout, Brookefield, Hagadur, Bangalore - 560037, KA, India",,Mahadevapura,188,"Sita Lakshmi ITPL Rd, AECS Layout - A Block, AECS Layout, Brookefield",,560037,Hagadur,Bangalore,Bangalore,Karnataka,,KA,India,in,0.08385707224066095,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
INC	H.N. Reddy (Nanjappa Reddy)	Kanakapura			25000	2003,12.861659,77.530183,"Kanakapura Road, Hemmigepura, Bangalore -, KA, India",,Rajarajeswari Nagar,,Kanakapura Road,,,Hemmigepura,Bangalore,Bangalore,Karnataka,,KA,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	H.P. Bricks	Daskrol	Daskrol	Gujarat	40000	2012,23.098638,69.611874,"Baladiya (Bhuj-Kaachchh-Gujarat-India), -, GJ, India",,,,Baladiya (Bhuj-Kaachchh-Gujarat-India),,,,,Kachchh,Gujarat,,GJ,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Habil khorakiwala wockhardt tower	Bandra kurla complex bandra (E) mumbai	Mumbai		2800000	2004,,,,,,,,,,,,,,,,,,,,,,
"BJP	Had Singh Arya	Karju, Monahbadoddia Shajapur M.P.			100000	2011",,,,,,,,,,,,,,,,,,,,,,
BJP	Haldhar ICO Village	At & Post Haldhar Ta. Kamrej Dist Surat	Surat		100000	2012,-45.097574,170.970241,"KiwiBank and Postshop, Oamaru, Waitaki District, New Zealand",KiwiBank and Postshop,Oamaru,,,,,,Oamaru,Waitaki District,Otago Region,,,New Zealand,nz,0.00014128494943486044,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Haldrein Glass Co.	AT & Post Gavasad, Taluka, Padra Distt-Vadodara	Vadodara		21000	2006",32.487916,-88.070576,"Coatopa Post Office, Sumter County, AL, United States of America",Coatopa Post Office,,,,,,,,Sumter County,Alabama,,AL,United States,us,0.032131060906328446,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Haldyn Glass Guj. Ltd.	8,9 &110 Gayatri Commercial Complex Bldg No 5, Behind Mittal Estate, Marol Naka Andheri - Kurla Road Andheri East, Mumbai - 400 059	Mumbai		29691	2008",19.115945,72.855363,"Andheri East, Mumbai, MH, India",Andheri East,Zone 3,,,,,Andheri East,Mumbai,Mumbai City,Maharashtra,,MH,India,in,0.04484429065743946,1,,,https://www.whosonfirst.org/docs/licenses/
BJP	Haldyn Glass Guj.ltd.	Off. Western Expreesway highway Goregaon 			30000	2007,-33.880253,151.197953,"Ultimo NSW 2007, Australia",2007,Ultimo,,,,2007,,Ultimo,Sydney,New South Wales,,NSW,Australia,au,0,,,,https://www.whosonfirst.org/docs/licenses/
BJP	Hamilton Housewares Pvt. Ltd	Mumbal			250000	2004,,,,,,,,,,,,,,,,,,,,,,
"BJP	Hamirbhai Dubabhai Chauha	Behind Nilkemal Society, Hanuman Tekry			25000	2013",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannam Mollah	208,Vithalbhai Patel House,Rafi Marg,New Delhi	New Delhi		100000	2007",28.6138954,77.2090057,"New Delhi, DL, India",,,,,,,,New Delhi,,Delhi,,DL,India,in,0.25,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
CPI(M)	Hannan Mollah	208 V.P. House NEW Delhi 	New Delhi		520000	2010,40.68295,-73.9708,"New York, NY, United States of America",,,,,,,,New York,Richmond County,New York,,NY,United States,us,0.007183364839319479,0.9025,,,https://www.whosonfirst.org/docs/licenses/
"CPI(M)	Hannan Mollah	208, Vithalbhai Patel House,Rafi Marg,New Delhi	New Delhi		100000	2006",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.0031377989166336416,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		52950	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V.P House Rafi Marg ,New Delhi Hanna Mollah 	New Delhi		50000	2012",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		40000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 VP House Rafi Marg, New Delhi 	New Delhi		40000	2012",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah	208 V.P House Rafi Marg ,New Delhi Hanna Mollah 	New Delhi		40000	2012",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		20000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		20000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		20000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		20000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		20000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		20000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		20000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		20000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		20000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208, V P House, Rafi Marg New Delhi	New Delhi		20000	2014",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V P House, Rafi Marg, New Delhi	New Delhi		20000	2013",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V P House, Rafi Marg, New Delhi	New Delhi		20000	2013",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V P House, Rafi Marg, New Delhi	New Delhi		20000	2013",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V P House, Rafi Marg, New Delhi	New Delhi		20000	2013",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V P House, Rafi Marg, New Delhi	New Delhi		20000	2013",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V P House, Rafi Marg, New Delhi	New Delhi		20000	2013",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V P House, Rafi Marg, New Delhi	New Delhi		20000	2013",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V P House, Rafi Marg. New Delhi	New Delhi		20000	2013",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004111842105263156,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V P House, Rafi Marg, New Delhi	New Delhi		20000	2013",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V.P House Rafi Marg, New Delhi Hanna Mollah 	New Delhi		20000	2012",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah	208 V.P House Rafi Marg, New Delhi 	New Delhi		20000	2012",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah	208, V.P House Rafi Marg , New Delhi 	New Delhi		20000	2012",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah	208 V P House, Refi Marg, New Delhi	New Delhi		20000	2013",40.142265,-75.554799,"24 Refi Ci, East Pikeland, PA, United States of America",,East Pikeland Township,24,Refi Ci,,,,East Pikeland,Chester County,Pennsylvania,,PA,United States,us,0.07295014609203798,,© OpenAddresses contributors,BSD-3-Clause License,
"CPI(M)	Hannan Mollah	208 V.P House Rafi Marg, New Delhi Hanna Mollah 	New Delhi		20000	2012",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah	208 V P House, Refi Marg, New Delhi	New Delhi		20000	2013",40.142265,-75.554799,"24 Refi Ci, East Pikeland, PA, United States of America",,East Pikeland Township,24,Refi Ci,,,,East Pikeland,Chester County,Pennsylvania,,PA,United States,us,0.07295014609203798,,© OpenAddresses contributors,BSD-3-Clause License,
"CPI(M)	Hannan Mollah	208 V.P House Rafi Marg, New Delhi Hanna Mollah 	New Delhi		20000	2012",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah	208 V.P House Rafi Marg, New Delhi Hanna Mollah 	New Delhi		20000	2012",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah	208 V P House, Rafi Marg, New Delhi	New Delhi		20000	2013",36.315756,-115.416631,"Rafi Way, Clark County, NV, United States of America",,,,Rafi Way,,,,,Clark County,Nevada,,NV,United States,us,0.004337107377647915,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Hannan Mollah	208 V.P House Rafi Marg, New Delhi Hanna Mollah 	New Delhi		20000	2012",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah (Ex-MP)	208 V.P House Rafi Marg, New Delhi 	New Delhi		100000	2011",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Hannan Mollah (Ex-MP)	209 V.P House Rafi Marg, New Delhi 	New Delhi		100000	2011",,,,,,,,,,,,,,,,,,,,,,
"BJP	Hansaram Chimanlal Prajapati	33,Chimanlal Jeevabhai Patel Market, APMC Vasna Ahemdabad			25000	2012",46.973437,6.887964,"2012 Lac de Neuchâtel, Switzerland",2012,,,,,2012,,Lac de Neuchâtel,,Neuchatel,,,Switzerland,ch,0,,,,https://www.whosonfirst.org/docs/licenses/
INC	Hansraj Singh Netrapal	Uttarakhand	Uttarakhand	Uttarakhand	1000000	2014,,,,,,,,,,,,,,,,,,,,,,
"INC	Hanuman Prasad	C-219, Gautam Marg Hanuman Nagar Jaipur	Jaipur	Rajasthan	32700	2013",26.9149289,75.7435186,"Gautam Marg, Vaishali Nagar, Jaipur - 302001, RJ, India",Gautam Marg,,,Gautam Marg,,302001,Vaishali Nagar,Jaipur,Jaipur Tehsil,Rajasthan,0.3333333333333333,RJ,India,in,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
INC	Hanumath V. Dambal	Raja Honsa Rajatagiri Dharwad Dhardwad-580004			25000	2003,42.359845,-71.073058,"Community Boating, Inc, 21 David G. Mugar Way, Boston, MA 02114, United States of America","Community Boating, Inc",Boston,21,David G. Mugar Way,,02114,Beacon Hill,Boston,Suffolk County,Massachusetts,,MA,United States,us,0.0017146776406035673,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Happy Home Corporation	Surat 	Surat		1100000	2012,,,,,,,,,,,,,,,,,,,,,,
BJP	Happy Home Corporation	Surat	Surat		800000	2012,51.22473,-0.06969,"Home Counties, Godstone, Surrey, ENG, United Kingdom",Home Counties,Godstone,,,SRY,,,Godstone,Surrey,England,,ENG,United Kingdom,gb,0.005843906189926959,,,CC BY 4.0,https://www.geonames.org/datasources/
"BJP	Happy Home Corporation	1st  Floor, Shanti Niketan, Vesu Char Rasta, Vesu			751000	2014",51.22473,-0.06969,"Home Counties, Godstone, Surrey, ENG, United Kingdom",Home Counties,Godstone,,,SRY,,,Godstone,Surrey,England,,ENG,United Kingdom,gb,0.002154195011337873,,,CC BY 4.0,https://www.geonames.org/datasources/
BJP	Happy Home Corporation	Surat 	Surat		200000	2013,21.196102,72.815766,"Surat, India",,,,,,,,Surat,Surat,Gujarat,,GJ,India,in,0.25,1,,,https://www.whosonfirst.org/docs/licenses/
BJP	Happy Home Corporation	surat	Surat		100000	2012,51.22473,-0.06969,"Home Counties, Godstone, Surrey, ENG, United Kingdom",Home Counties,Godstone,,,SRY,,,Godstone,Surrey,England,,ENG,United Kingdom,gb,0.005843906189926959,,,CC BY 4.0,https://www.geonames.org/datasources/
BJP	Happy Home Corporation	Shanti Niketan S.D. Jain School Udhana			75000	2012,21.175797,72.836343,"Udhana Main Road, Surat -, GJ, India",,,,Udhana Main Road,,,,Surat,Surat,Gujarat,,GJ,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Happy Home Corporation	Shantiniketan Nr. S.D. Jain School Udhana Magadala Road Surat	Surat		50000	2012,46.973437,6.887964,"2012 Lac de Neuchâtel, Switzerland",2012,,,,,2012,,Lac de Neuchâtel,,Neuchatel,,,Switzerland,ch,0,,,,https://www.whosonfirst.org/docs/licenses/
BJP	Happy Home Corporation	Surat	Surat		50000	2012,51.22473,-0.06969,"Home Counties, Godstone, Surrey, ENG, United Kingdom",Home Counties,Godstone,,,SRY,,,Godstone,Surrey,England,,ENG,United Kingdom,gb,0.006079999999999993,,,CC BY 4.0,https://www.geonames.org/datasources/
BJP	Happy Home Corporation	Surat 	Surat		50000	2012,,,,,,,,,,,,,,,,,,,,,,
"BJP	Harasiddhi Projects	TULSI VILLA, POTADDAR ROAD, SANTACURZ WEST			650000	2014",,,,,,,,,,,,,,,,,,,,,,
"BJP	Harbans Kapoor	R-1, Yamuna Colony, Dehradun	Dehradun	Uttarakhand	100000	2010",30.1079059,78.2821103,"TDHC Colony, Rishikesh - 249201, UT, India",TDHC Colony,,,,,249201,TDHC Colony,Rishikesh,Dehradun,Uttarakhand,,UT,India,in,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Harbhajan S Cheema	30 inder Road, dalawala Dehradun	Dehradun	Uttarakhand	100000	2011",39.116348,-121.648163,"Inder Lane, Yuba City, CA, United States of America",,,,Inder Lane,,,,Yuba City,Sutter County,California,,CA,United States,us,0.0032111952406706314,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Hardware Tools & Machinery Project Pvt. Ltd.	Mehsana	Mehsana		25000	2012,,,,,,,,,,,,,,,,,,,,,,
BJP	Harekrishna Exports Pvt Ltd	Surat	Surat		1100000	2012,10.810809,76.037643,"Anakkara Food Processing & Exports Pvt, -, KL, India",,,,Anakkara Food Processing & Exports Pvt,,,,,Palakkad,Kerala,,KL,India,in,0.01432748538011697,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
INC	Harendra Agarwal	358 Lohia Nagar Dist Ghaziabad	Ghaziabad	Uttar Pradesh	25000	2013,28.672538,77.434642,"40, lohia nagar, Ghaziabad - 201001, UP, India",,,40,lohia nagar,,201001,,Ghaziabad,Ghaziabad,Uttar Pradesh,,UP,India,in,0.08281503515413735,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
